"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184987","occ","","","18135","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"184999","occ","5604","","18138","Aelurodon ferox","species","43762","Clarendonian","Hemphillian","13.6","4.9","3558"
"185002","occ","","","18140","Martinogale alveodens","species","47927","Hemphillian","","10.3","4.9","1835"
"185003","occ","","","18140","Plesiogulo marshalli","species","44674","Hemphillian","","10.3","4.9","34707"
"185004","occ","","","18140","Pliotaxidea nevadensis","species","52090","Hemphillian","","10.3","4.9","1800"
"185005","occ","","","18140","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","34707"
"185006","occ","5607","","18140","Eucyon davisi","species","44836","Hemphillian","","10.3","4.9","1839"
"185007","occ","","","18140","Agriotherium","genus","41303","Hemphillian","","10.3","4.9","1800"
"185008","occ","5608","","18140","Amphimachairodus coloradensis","species","47842","Hemphillian","","10.3","4.9","1800"
"185009","occ","","","18140","Adelphailurus kansensis","species","43735","Hemphillian","","10.3","4.9","1835"
"185033","occ","","","18141","Alluvisorex","genus","40446","Barstovian","","15.97","13.6","3503"
"185034","occ","","","18141","Antrozous","genus","40665","Barstovian","","15.97","13.6","3503"
"185053","occ","","","18141","Aelurodon","genus","41190","Barstovian","","15.97","13.6","3503"
"185054","occ","5624","","18141","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"185055","occ","","","18141","Arctonasua gracilis","species","44302","Barstovian","","15.97","13.6","1028"
"185056","occ","5625","","18141","Bassariscus antiquus","species","44453","Barstovian","","15.97","13.6","3510"
"185057","occ","5626","","18141","Miomustela madisonae","species","48857","Barstovian","","15.97","13.6","3510"
"185067","occ","","","18142","Epicyon haydeni","species","44847","Clarendonian","","13.6","10.3","3558"
"185070","occ","","","18144","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"185071","occ","","","18144","Arctonasua","genus","41251","Barstovian","","15.97","13.6","1028"
"185083","occ","","","18148","Carpocyon webbi","species","44936","Clarendonian","","13.6","10.3","3558"
"185084","occ","","","18149","Aelurodon taxoides","species","43778","Miocene","","23.03","5.333","1321"
"185092","occ","","","18150","Paratomarctus euthos","species","45458","Barstovian","Clarendonian","15.97","10.3","3558"
"185093","occ","","","18151","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","6193"
"185094","occ","","","18152","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"185095","occ","","","18153","Aelurodon mcgrewi","species","43769","Barstovian","","15.97","13.6","3558"
"185098","occ","","","18155","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"185108","occ","","","18157","Leptocyon vafer","species","44886","Clarendonian","","13.6","10.3","3564"
"185118","occ","","","18158","Bassariscus ogallalae","species","44458","Hemphillian","","10.3","4.9","3510"
"185119","occ","","","18158","Felidae","family","41045","Hemphillian","","10.3","4.9","3510"
"185120","occ","","","18158","Epicyon","genus","41212","Hemphillian","","10.3","4.9","2218"
"185132","occ","5647","","18159","Aelurodon stirtoni","species","51830","Clarendonian","","13.6","10.3","6294"
"185133","occ","","","18159","Ischyrocyon","genus","41287","Clarendonian","","13.6","10.3","3564"
"185142","occ","","","18160","Plesiosorex donroosai","species","50468","Barstovian","","15.97","13.6","1713"
"185143","occ","","","18160","Soricidae","family","40443","Barstovian","","15.97","13.6","1713"
"185148","occ","5653","","18160","Borophaginae","subfamily","83323","Barstovian","","15.97","13.6","6294"
"185149","occ","5654","","18160","Mustelidae","family","41086","Barstovian","","15.97","13.6","6294"
"185150","occ","","","18160","Leptarctus","genus","41119","Barstovian","","15.97","13.6","1713"
"185159","occ","","","18162","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"185182","occ","5662","","18164","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","6294"
"185183","occ","","","18164","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3510"
"185184","occ","","","18164","Cynarctus saxatilis","species","45448","Barstovian","","15.97","13.6","3510"
"185185","occ","","","18164","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","3510"
"185186","occ","","","18164","Amphicyonidae","family","41266","Barstovian","","15.97","13.6","3510"
"185187","occ","","","18164","Probassariscus","genus","41261","Barstovian","","15.97","13.6","3510"
"185188","occ","","","18164","Brachypsalis pachycephalus","species","44678","Barstovian","","15.97","13.6","3510"
"185189","occ","9959","","18164","Leptarctus primus","species","47534","Barstovian","","15.97","13.6","6294"
"185190","occ","","","18164","Pseudaelurus intrepidus","species","51143","Barstovian","","15.97","13.6","3510"
"185210","occ","","","18165","Limnoecus niobrarensis","species","47680","Barstovian","","15.97","13.6","2337"
"185218","occ","5674","","18165","Tomarctus hippophaga","species","52176","Barstovian","","15.97","13.6","3418"
"185219","occ","5675","","18165","Leptocyon vafer","species","44886","Barstovian","","15.97","13.6","6294"
"185220","occ","5676","","18165","Bassariscus antiquus","species","44453","Barstovian","","15.97","13.6","6294"
"185221","occ","","","18165","Pseudaelurus","genus","41072","Barstovian","","15.97","13.6","3239"
"185222","occ","","","18165","Mustelidae","family","41086","Barstovian","","15.97","13.6","3239"
"185230","occ","","","18166","Adelphailurus kansensis","species","43735","Hemphillian","","10.3","4.9","1058"
"185231","occ","5681","","18166","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"185232","occ","5682","","18166","Eucyon davisi","species","44836","Hemphillian","","10.3","4.9","1800"
"185233","occ","","","18166","Bassariscus ogallalae","species","44458","Hemphillian","","10.3","4.9","1058"
"185241","occ","","","18167","Aelurodon ferox","species","43762","Barstovian","","15.97","13.6","3558"
"185243","occ","","","18169","Epicyon haydeni","species","44847","Miocene","","23.03","5.333","3558"
"185244","occ","5684","","18170","Borophagus","genus","41196","Hemphillian","","10.3","4.9","6294"
"185248","occ","","","18171","Cynarctus crucidens","species","45442","Clarendonian","","13.6","10.3","3558"
"185249","occ","","","18171","Aelurodon taxoides","species","43778","Clarendonian","","13.6","10.3","3558"
"185250","occ","","","18171","Epicyon saevus","species","44881","Clarendonian","","13.6","10.3","3558"
"185259","occ","","","18172","Paratomarctus temerarius","species","44882","Barstovian","","15.97","13.6","3558"
"185260","occ","","","18173","Carpocyon compressus","species","43761","Barstovian","","15.97","13.6","3558"
"185261","occ","","","18174","Aelurodon taxoides","species","43778","Clarendonian","Hemphillian","13.6","4.9","3558"
"185262","occ","5686","","18175","Borophagus secundus","species","44603","Hemphillian","","10.3","4.9","6294"
"185272","occ","5687","","18176","Paratomarctus euthos","species","45458","Clarendonian","","13.6","10.3","6294"
"185273","occ","","","18176","Aelurodon stirtoni","species","51830","Clarendonian","","13.6","10.3","3558"
"185274","occ","","","18176","Aelurodon ferox","species","43762","Clarendonian","","13.6","10.3","3558"
"185291","occ","","","18179","Aelurodon taxoides","species","43778","Miocene","","23.03","5.333","6207"
"185300","occ","","","18180","Aelurodon","genus","41190","Clarendonian","Hemphillian","13.6","4.9","2218"
"185301","occ","","","18180","Nimravides galiani","species","49164","Clarendonian","Hemphillian","13.6","4.9","2218"
"185307","occ","5694","","18181","Nimravides thinobates","species","51147","Clarendonian","Hemphillian","13.6","4.9","6294"
"185308","occ","","","18181","Machairodus","genus","41059","Clarendonian","Hemphillian","13.6","4.9","1132"
"185325","occ","","","18185","Brachypsalis modicus","species","44676","Miocene","","23.03","5.333","3356"
"185337","occ","5705","","18186","Borophaginae","subfamily","83323","Clarendonian","","13.6","10.3","6294"
