Species	Status
Feliformia	extinct
Felinae	extinct
Felis	extinct
Felis_domesticus	extinct
Felis_lacustris	extinct
Felis_libyca	extant
Felis_nigripes	extinct
Felis_obscura	extinct
Felis_platensis	extinct
Felis_prisca	extinct
Felis_rexroadensis	extinct
Felis_silvestris	extant
Felis_youngi	extinct
Ferae	extinct
Ferinestrix_vorax	extinct
Florinia_stehlini	extinct
Fossa_fossana	extant
Franconictis	extinct
Franconictis_vireti	extinct
Galictis	extinct
Galictis_vittata	extant
Genetta	extinct
Genetta_genetta	extant
Genetta_tigrina	extant
Ginsburgsmilus_napakensis	extinct
Glossophaga	extinct
Glossophaginae	extinct
Gobicyon	extinct
Gobiohyus	extinct
Gobiohyus_orientalis	extinct
Gobiohyus_pressidens	extinct
Gobiohyus_reshetovi	extinct
Gobiohyus_robustus	extinct
Gobisorex_akhmetievi	extinct
Gobisorex_kingae	extinct
Gomphotaria_pugnax	extinct
Goupilictis_minor	extinct
Gracilocyon	extinct
Gracilocyon_igniculus	extinct
Gracilocyon_rosei	extinct
Gracilocyon_solei	extinct
Gracilocyon_winkleri	extinct
Gryphoca_nordica	extinct
Gryphoca_similis	extinct
Guangxicyon_sinoamericanus	extinct
Gulo	extinct
Gulo_gulo	extant
Hadrictis	extinct
Hadrokirus_martini	extinct
Halichoerus_grypus	extant
Haplocyonoides_mordax	extinct
Harpagophagus_sanguinensis	extinct
Harpalodon_sylvestris	extinct
Hassianycteris	extinct
Hassianycteris_kumari	extinct
Hecubides_euryodon	extinct
Hecubides_macrodon	extinct
Helogale	extinct
Helogale_hirtula	extinct
Hemicyon	extinct
Hemicyon_barbouri	extinct
Hemicyon_sansaniensis	extinct
Hemisorex	extinct
Herpailurus	extinct
Herpestes	extinct
Herpestes_abdelalii	extinct
Herpestes_ichneumon	extant
Herpestes_pulverulentus	extant
Herpestes_sanguineus	extant
Herpestes_urva	extinct
Herpestidae	extinct
Herpestides	extinct
Herpestides_aegypticus	extinct
Herpestides_antiquus	extinct
Herpestides_compactus	extinct
Hesperocyon	extinct
Hesperocyon_coloradensis	extinct
Hesperocyon_gregarius	extinct
Hesperocyoninae	extinct
Hesperosorex	extinct
Hesperosorex_lovei	extinct
Heterosorex	extinct
Heterosorex_ruemkeae	extinct
Heterosorex_wangi	extinct
Heterosoricidae	extinct
Hipposideridae	extinct
Hipposideros	extinct
Hipposideros_bernardsigei	extinct
Hipposideros_(Brachipposideros)_dechaseauxi	extinct
Hipposideros_felix	extinct
Hipposideros_morloti	extinct
Hipposideros_omani	extinct
Hipposideros_(Pseudorhinolophus)_bouziguensis	extinct
Hipposideros_schlosseri	extinct
Histiotus_stocki	extinct
Histriophoca_alekseevi	extinct
Histriophoca_fasciata	extant
Homiphoca_capensis	extinct
Homotherium	extinct
Homotherium_crusafonti	extinct
Homotherium_idahoensis	extinct
Homotherium_johnstoni	extinct
Homotherium_serum	extinct
Homotherium_venezuelensis	extinct
Honrovits_tsuwape	extinct
Hoplictis	extinct
Hoplictis_grangerensis	extinct
Hoplophoneus	extinct
Hoplophoneus_cerebralis	extinct
Hoplophoneus_mentalis	extinct
Hoplophoneus_occidentalis	extinct
Hoplophoneus_primaevus	extinct
Hoplophoneus_strigidens	extinct
Hyaena	extinct
Hyaena_abronia	extinct
Hyaena_hipparionum	extinct
Hyaena_hyaena	extant
Hyaena_hyaena_hyaena	extinct
Hyaenictis	extinct
Hyaenictis_preforfex	extinct
Hyaenictitherium	extinct
Hyaenictitherium_barbarum	extinct
Hyaenidae	extinct
Hyaenotherium	extinct
Hydrarctos_lomasiensis	extinct
Hydrurga	extinct
Hydrurga_leptonyx	extant
Ia	extinct
Icaronycteris	extinct
Icaronycteris_index	extinct
Icaronycteris_menui	extinct
Icaronycteris_sigei	extinct
Ichneumia	extinct
Ichneumia_albicauda	extant
Ichneumia_nims	extinct
Iconapternodus	extinct
Iconapternodus_qii	extinct
Ictidopappus_mustelinus	extinct
Ictiocyon	extinct
Ictitheriinae	extinct
Ictitherium	extinct
Ictonyx_striatus	extant
Ictopidium_lechei	extinct
Ikelohyaena	extinct
Imagotaria	extinct
Imagotaria_downsi	extinct
Imagotariinae	extinct
Indarctos	extinct
Indarctos_arctoides	extinct
Indarctos_atticus	extinct
Indarctos_nevadensis	extinct
Indarctos_oregonensis	extinct
Ingentisorex_tumididens	extinct
Intyrictis_vanvaleni	extinct
Ischyrictis	extinct
Ischyrocyon	extinct
Ischyrocyon_gidleyi	extinct
Isolalutra_cretensis	extinct
Jaegeria_cambayensis	extinct
Kamtschatarctos_sinelnikovae	extinct
Karstala_silva	extinct
Kawas_benegasorum	extinct
Ketketictis_solida	extinct
Khonsunycteris_aegypticus	extinct
Kichechia_zamanae	extinct
Kiotomops_lopezi	extinct
Kolponomos	extinct
Kolponomos_clallamensis	extinct
Kolponomos_newportensis	extinct
Koniaryctes_paulus	extinct
Kordosia_topali	extinct
Lapichiropteryx	extinct
Lapichiropteryx_xiei	extinct
Lartetium	extinct
Lartetium_petersbuchense	extinct
Lasionycteris_noctivagans	extant
Lasiurus	extinct
Lasiurus_borealis	extant
Lasiurus_cinereus	extinct
Lasiurus_fossilis	extinct
Lasiurus_golliheri	extinct
Lasiurus_intermedius	extinct
Lasiurus_seminolus	extinct
Laurasiatheria	extinct
Legionarictis_fortidens	extinct
Leopardus	extinct
Leopardus_braccatus	extant
Leopardus_pardalis	extant
Leopardus_tigrinus	extant
Leopardus_vorohuensis	extinct
Leopardus_wiedii	extant
Leptacodon	extinct
Leptacodon_catulus	extinct
Leptacodon_donkroni	extinct
Leptacodon_munusculum	extinct
Leptacodon_nascimentoi	extinct
Leptacodon_packi	extinct
Leptacodon_proserpinae	extinct
Leptacodon_tener	extinct
Leptarctinae	extinct
Leptarctus	extinct
Leptarctus_ancipidens	extinct
Leptarctus_martini	extinct
Leptarctus_mummorum	extinct
Leptarctus_oregonensis	extinct
Leptarctus_primus	extinct
