Species	Status	min_age	max_age
Struthio	extinct	8.7	11.608
Presbyornithidae	extinct	41.3	47.8
Phasianidae	extinct	41.3	47.8
Psittacidae	extinct	41.3	47.8
Milvoides_kempi	extinct	41.3	47.8
Aves	extinct	41.3	47.8
Milvoides_kempi	extinct	41.3	47.8
Parvirallus_gracilis	extinct	41.3	47.8
Latipons_gardneri	extinct	41.3	47.8
Latipons	extinct	41.3	47.8
Aves	extinct	41.3	47.8
Aves	extinct	41.3	47.8
Aves	extinct	41.3	47.8
Milvoides_kempi	extinct	38	41.3
Parvirallus_gracilis	extinct	38	41.3
Milvoides_kempi	extinct	38	41.3
Latipons_gardneri	extinct	38	41.3
Latipons	extinct	38	41.3
Latipons	extinct	38	41.3
Litoripes_medius	extinct	41.3	47.8
Aves	extinct	0.0117	2.588
Struthio	extinct	0.126	0.781
Somateria	extinct	0.781	2.588
Sinanas	extinct	11.608	15.97
Youngornis	extinct	11.608	15.97
Accipitrinae	extinct	15.97	20.44
Aquila	extinct	15.97	20.44
Gypaetinae	extinct	15.97	20.44
Perdicinae	extinct	15.97	20.44
Phasianidae	extinct	15.97	20.44
Aves	extinct	0.781	2.588
Aves	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Aves	extinct	0.0117	2.588
Aves	extinct	0.0117	0.781
Anas	extinct	0.126	0.781
Aves	extinct	0.126	0.781
Anser	extinct	0.126	0.781
Branta_bernicla	extinct	0.126	0.781
Anas_acuta	extant	0.126	0.781
Anas	extinct	0.126	0.781
Anas_platyrhynchos	extant	0.126	0.781
Anas	extinct	0.126	0.781
Calidris	extinct	0.126	0.781
Rallus	extinct	0.126	0.781
Aves	extinct	28.4	33.9
Aves	extinct	41.3	47.8
Aves	extinct	33.9	38
Diatropornis	extinct	38	41.3
Idiornis_gaillardi	extinct	38	41.3
Taoperdix	extinct	38	41.3
Aegialornis_gallicus	extinct	38	41.3
Aegialornis_wetmorei	extinct	38	41.3
Primocolius_sigei	extinct	38	41.3
Podiceps_sociatus	extinct	8.7	11.1
Diatryma	extinct	41.3	47.8
Diatryma	extinct	41.3	47.8
Palaeotis_weigelti	extinct	41.3	47.8
Martinavis_vincei	extinct	66	70.6
Hesperornithiformes	extinct	66	72.1
Aves	extinct	66	72.1
Avisaurus_archibaldi	extinct	66	70.6
Aves	extinct	66	70.6
Aves	extinct	66	72.1
Aves	extinct	66	72.1
Aves	extinct	66	72.1
Aves	extinct	66	72.1
Aves	extinct	66	72.1
Hesperornithiformes	extinct	66	72.1
Aves	extinct	66	72.1
Hesperornithiformes	extinct	66	72.1
Aves	extinct	48.6	55.8
Aves	extinct	66	72.1
Hesperornithiformes	extinct	66	72.1
Vegavis_iaai	extinct	66	70.6
Apsaravis_ukhaana	extinct	72.1	83.6
Aves	extinct	66	72.1
Presbyornithidae	extinct	33.9	56
