Species	Status
Kizylkumavis_cretacea	extinct
Koreanaornis	extinct
Koreanaornis_hamanensis	extinct
Koreanornis_sinensis	extinct
Korora_oliveri	extinct
Kuiornis_indicator	extinct
Kuntur_cardenasi	extinct
Kuszholia	extinct
Kuszholia_mengi	extinct
Lagopterus_minutus	extinct
Lamarqueavis_australis	extinct
Lamarqueavis_minima	extinct
Lamarqueavis_petra	extinct
Laornis_edvardsianus	extinct
Largirostrornis	extinct
Laridae	extinct
Larus	extinct
Larus_argentatus	extinct
Larus_atricilla	extinct
Larus_californicus	extinct
Larus_delawarensis	extinct
Larus_dominicanus	extant
Larus_elmorei	extinct
Larus_lacus	extinct
Larus_minutus	extinct
Larus_novaehollandiae	extant
Larus_oregonus	extinct
Larus_perpetuus	extinct
Larus_pristinus	extinct
Larus_robustus	extinct
Laterallus	extinct
Laterallus_guti	extinct
Latipons	extinct
Latipons_gardneri	extinct
Lavocatavis_africana	extinct
Lectavis_bretincola	extinct
Leptopterus	extinct
Leptoptilos	extinct
Leptoptilos_dubius	extinct
Leptoptilos_falconeri	extinct
Leptoptilos_patagonicus	extinct
Leptoptilos_robustus	extinct
Leptoptilos_titan	extinct
Leucocarbo	extinct
Leucocarbo_carunculatus	extinct
Liaoningornis_longidigitris	extinct
Limenavis_patagonica	extinct
Limicolavis_pluvianella	extinct
Limnodromus	extinct
Limnodromus_scolopaceus	extinct
Limnofregata_azygosternon	extinct
Limosa	extinct
Limosa_vanrossemi	extinct
Linyiornis_amoena	extinct
Liptornis_hesternus	extinct
Lithoptila_abdounensis	extinct
Lithornis	extinct
Lithornis_celetius	extinct
Lithornis_plebius	extinct
Lithornis_promiscuus	extinct
Lithornis_vulturinus	extinct
Lithornithidae	extinct
Litoripes_medius	extinct
Lonchodytes_estesi	extinct
Longchengornis_sanyanensis	extinct
Longicrusavis_houi	extinct
Longipteryx	extinct
Longipteryx_chaoyangensis	extinct
Longirostravis_hani	extinct
Longusunguis_kurochkini	extinct
Lophodytes_cucullatus	extinct
Lophortyx	extinct
Lophortyx_shotwelli	extinct
Loxia	extinct
Loxia_curvirostra	extinct
Lutetodontopteryx_tethyensis	extinct
Macrodontopteryx_oweni	extinct
Madrynornis_mirandus	extinct
Mancalla	extinct
Mancalla_californiensis	extinct
Mancalla_cedrosensis	extinct
Mancalla_diegense	extinct
Mancalla_lucasi	extinct
Mancalla_vergrandis	extinct
Mancallinae	extinct
Manu_antiquus	extinct
Manuherikia_douglasi	extinct
Manuherikia_lacustrina	extinct
Manuherikia_minuta	extinct
Marambiornis_exilis	extinct
Marplesornis_novaezealandiae	extinct
Martinavis	extinct
Martinavis_cruzyensis	extinct
Martinavis_minor	extinct
Martinavis_saltariensis	extinct
Martinavis_vincei	extinct
Martinavis_whetstonei	extinct
Masillapodargus_longipes	extinct
Masillastega_rectirostris	extinct
Matanas_enrighti	extinct
Matuku_otagoense	extinct
Megaceryle_alcyon	extinct
Megadyptes_antipodes	extinct
Megadyptes_waitaha	extant
Megalapteryx	extinct
Megalodytes	extinct
Megapaloelodus	extinct
Megapaloelodus_connectens	extinct
Megapaloelodus_opsigonus	extinct
Melanerpes	extinct
Melanerpes_carolinus	extinct
Melanerpes_erythrocephalus	extinct
Melanitta	extinct
Melanitta_ceruttii	extinct
Melanitta_fusca	extant
Melanitta_nigra	extant
