Species	Status	min_age	max_age
Oodectes	extinct	50.3	55.8
Oxyaena_gulo	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Oxyaena_gulo	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Uintacyon_massetericus	extinct	50.3	55.8
Oxyaena_gulo	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Palaeanodon_ignavus	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Plagioctenodon_savagei	extinct	50.3	55.8
Talpavoides_dartoni	extinct	50.3	55.8
Palaeanodon	extinct	50.3	55.8
Oxyaena_gulo	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Oxyaena	extinct	50.3	55.8
Palaeonictis_occidentalis	extinct	50.3	55.8
Uintacyon_massetericus	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Oxyaena_gulo	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Oxyaena	extinct	50.3	55.8
Uintacyon_massetericus	extinct	50.3	55.8
Palaeanodon_ignavus	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Miacis	extinct	50.3	55.8
Oxyaena_gulo	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Talpavoides_dartoni	extinct	50.3	55.8
Didymictis_leptomylus	extinct	50.3	55.8
Viverravus	extinct	50.3	55.8
Uintacyon_massetericus	extinct	50.3	55.8
Talpavoides_dartoni	extinct	50.3	55.8
Viverravus_acutus	extinct	50.3	55.8
Uintacyon_rudis	extinct	50.3	55.8
Miacidae	extinct	50.3	55.8
